model,bit,grid_search,expand,ppl_test
mistralai/Mistral-7B-Instruct-v0.3,16,False,0,5.49
mistralai/Mistral-7B-Instruct-v0.3,4,False,0,5.98
mistralai/Mistral-7B-Instruct-v0.3,4,True,0,5.75
mistralai/Mistral-7B-Instruct-v0.3,3,False,0,38.28
mistralai/Mistral-7B-Instruct-v0.3,3,True,0,7.04
mistralai/Mistral-7B-v0.1,16,False,0,5.25
mistralai/Mistral-7B-v0.1,4,False,0,5.82
mistralai/Mistral-7B-v0.1,4,True,0,5.57
mistralai/Mistral-7B-v0.1,3,False,0,100.85
mistralai/Mistral-7B-v0.1,3,True,0,7.31
meta-llama/Llama-2-7b-hf,16,False,0,5.47
meta-llama/Llama-2-7b-hf,4,False,0,6.21
meta-llama/Llama-2-7b-hf,4,True,0,6.04
meta-llama/Llama-2-7b-hf,3,False,0,332.56
meta-llama/Llama-2-7b-hf,3,True,0,9.18
meta-llama/Meta-Llama-3-8B,16,False,0,6.13
meta-llama/Meta-Llama-3-8B,4,False,0,8.33
meta-llama/Meta-Llama-3-8B,4,True,0,7.4
meta-llama/Meta-Llama-3-8B,3,False,0,1315
meta-llama/Meta-Llama-3-8B,3,True,0,12.62
Qwen/Qwen2.5-7B-Instruct,16,False,0,7.45
Qwen/Qwen2.5-7B-Instruct,4,False,0,9.21
Qwen/Qwen2.5-7B-Instruct,4,True,0,8.23
Qwen/Qwen2.5-7B-Instruct,3,False,0,251
Qwen/Qwen2.5-7B-Instruct,3,True,0,12.33
Qwen/Qwen2.5-1.5B-Instruct,16,False,0,9.64
Qwen/Qwen2.5-1.5B-Instruct,4,False,0,14.44
Qwen/Qwen2.5-1.5B-Instruct,4,True,0,12.05
Qwen/Qwen2.5-1.5B-Instruct,3,False,0,3411
Qwen/Qwen2.5-1.5B-Instruct,3,True,0,34.97

mistralai/Mistral-7B-v0.1,3,True,472,7.22
mistralai/Mistral-7B-v0.1,3,True,1528,6.93
Qwen/Qwen2.5-0.5B-Instruct,16,False,0,14.235408782958984
Qwen/Qwen2.5-0.5B-Instruct,4,False,0,23.106767654418945
Qwen/Qwen2.5-0.5B-Instruct,3,False,0,7184.0712890625
mistralai/Mistral-7B-v0.1,3,True,2032mlp,7.3674750328063965
meta-llama/Meta-Llama-3-8B,3,True,0,13.455803871154785
meta-llama/Llama-2-7b-hf,4,True,2032mlp,6.03425407409668
meta-llama/Llama-2-7b-hf,3,True,2032mlp,9.28177547454834
Qwen/Qwen2.5-0.5B-Instruct,3,True,12,12884853.0
Qwen/Qwen2.5-0.5B-Instruct,3,True,292,10461235.0
Qwen/Qwen2.5-0.5B-Instruct,3,True,504,12165812.0
Qwen/Qwen2.5-0.5B-Instruct,3,True,1012,8921724.0
Qwen/Qwen2.5-0.5B-Instruct,3,True,12,12884853.0

// Rebutals

